home_team,away_team,home_poss_perc,away_poss_perc,home_pass_accuracy_perc,away_pass_accuracy_perc,home_n_good_passes,home_n_total_passes,away_n_good_passes,away_n_total_passes,home_shots_target_perc,away_shots_target_perc,home_n_shots_target,home_n_total_shots,away_n_shots_target,away_n_total_shots,home_saves_perc,away_saves_perc,home_n_saves,away_n_saves,home_fouls,away_fouls,home_corners,away_corners,home_crosses,away_crosses,home_touches,away_touches,home_tackles,away_tackles,home_interceptions,away_interceptions,home_aerials_won,away_aerials_won,home_clearances,away_clearances,home_offsides,away_offsides,home_goal_kicks,away_goal_kicks,home_throw_ins,away_throw_ins,home_long_balls,away_long_balls,id,leg
New Zealand,Philippines,68,32,70,47,428,611,132,283,25,25,4,16,1,4,0,100,0,4,9,8,7,0,36,5,726,429,16,17,5,19,23,22,14,34,2,1,6,13,41,25,101,80,1,G2
Switzerland,Norway,49,51,77,77,393,513,403,524,13,33,1,8,5,15,100,100,5,1,11,8,2,7,9,23,632,643,16,12,5,13,14,11,26,13,3,4,12,4,23,22,57,47,2,G2
Japan,Costa Rica,57,43,80,76,485,604,353,463,50,33,12,24,2,6,100,83,2,10,7,13,9,0,25,1,703,585,12,7,15,11,19,11,4,25,1,0,0,17,20,22,43,54,3,G2
Spain,Zambia,74,26,85,53,665,782,148,278,59,20,13,22,2,10,100,61,2,8,7,5,9,3,32,8,951,441,22,28,7,12,10,9,24,31,2,2,9,4,25,27,61,70,4,G2
Canada,Rep. of Ireland,60,40,76,58,425,561,212,368,41,43,7,17,6,14,83,85,5,6,6,10,3,5,21,19,714,477,23,13,16,4,29,20,28,20,0,1,6,8,31,37,67,58,5,G2
USA,Netherlands,45,55,66,76,283,427,402,529,17,20,3,18,1,5,0,66,0,2,13,15,11,1,28,6,561,690,24,22,16,11,23,13,9,42,1,1,4,13,31,16,65,97,6,G2
Portugal,Vietnam,69,31,82,60,508,618,164,275,31,20,9,29,1,5,100,77,1,7,10,8,9,1,28,7,757,431,14,19,4,15,19,9,9,30,2,1,2,25,31,16,46,65,7,G2
Australia,Nigeria,63,37,75,61,392,523,184,301,29,55,8,28,6,11,50,75,3,6,5,8,15,2,35,9,658,457,17,17,10,7,21,19,17,43,1,1,8,16,16,18,62,70,8,G2
Argentina,South Africa,61,39,74,64,409,549,225,353,31,31,4,13,4,13,50,50,2,2,9,14,4,3,19,9,696,530,28,37,11,12,19,14,15,23,0,3,12,13,33,19,58,81,9,G2
England,Denmark,70,30,81,58,544,672,169,292,31,33,4,13,2,6,100,75,2,3,7,12,9,2,25,14,778,404,15,20,12,13,13,19,10,27,0,0,7,15,28,23,78,63,10,G2
China PR,Haiti,52,48,76,67,350,460,287,427,43,14,3,7,1,7,100,100,1,3,10,8,4,4,13,14,607,536,18,29,12,7,16,14,26,13,1,3,4,8,27,48,77,54,11,G2
Sweden,Italy,47,53,74,76,334,450,385,508,33,17,7,21,2,12,100,28,2,2,13,1,7,3,18,10,589,648,15,30,13,15,12,16,11,19,2,1,7,9,27,25,64,51,12,G2
France,Brazil,54,46,67,66,322,482,273,414,37,18,7,19,2,11,50,71,1,5,13,10,5,3,21,14,639,609,33,30,14,9,17,20,15,26,2,0,8,13,42,39,85,64,13,G2
Panama,Jamaica,51,49,68,71,275,406,276,389,31,20,4,13,4,20,75,100,3,4,10,15,7,9,21,18,560,536,28,15,10,12,15,24,29,26,1,3,5,6,19,31,56,67,14,G2
Korea Republic,Morocco,61,39,73,60,360,495,187,314,0,20,0,16,2,10,50,0,1,0,7,14,6,3,29,12,620,466,20,22,7,10,24,9,7,30,4,0,,16,39,26,60,74,15,G2
Germany,Colombia,67,33,79,55,480,611,166,300,8,44,1,13,4,9,50,100,2,1,8,17,4,6,25,10,781,457,28,25,15,7,22,12,19,31,0,0,6,9,25,22,56,81,16,G2
Switzerland,New Zealand,51,49,74,71,405,550,376,528,67,25,2,3,3,12,100,100,3,2,13,6,4,5,9,21,691,664,22,29,9,9,17,22,28,17,1,2,4,2,37,35,88,86,17,G3
Norway,Philippines,71,29,82,56,562,682,156,281,37,25,11,30,1,4,100,63,1,7,8,6,8,3,31,8,805,405,10,12,7,11,15,10,12,32,1,2,4,12,28,21,71,65,18,G3
Costa Rica,Zambia,57,43,73,59,321,441,193,329,19,50,3,16,7,14,71,66,5,2,11,19,3,7,22,15,596,455,15,21,13,7,14,9,19,24,3,0,8,13,28,25,75,63,19,G3
Japan,Spain,24,76,59,87,173,294,820,946,71,20,5,7,2,10,100,20,2,1,3,12,0,3,7,20,431,1061,23,19,14,6,2,17,21,7,1,0,11,2,20,29,64,54,20,G3
Rep. of Ireland,Nigeria,59,41,84,79,483,574,310,392,20,18,1,5,2,11,100,100,2,1,8,11,2,3,13,16,685,518,21,24,5,9,6,5,14,14,1,0,10,8,24,23,60,58,21,G3
Canada,Australia,60,40,74,63,406,549,225,359,27,56,3,11,5,9,40,100,2,3,5,8,5,4,21,13,683,503,27,18,18,4,28,22,18,36,0,1,2,10,31,27,77,68,22,G3
Haiti,Denmark,39,61,55,73,183,331,369,508,22,63,2,9,5,8,80,100,4,2,4,11,7,5,24,25,473,668,24,24,9,11,16,13,22,26,4,3,8,9,33,24,81,69,23,G3
Portugal,USA,56,44,69,63,306,446,219,350,0,29,0,6,5,17,100,0,5,0,12,14,1,6,13,22,572,489,20,26,8,17,16,20,25,15,0,0,14,9,31,26,60,55,24,G3
Vietnam,Netherlands,29,71,62,85,192,311,649,764,20,40,1,5,17,42,58,100,10,1,4,12,3,9,8,29,459,898,22,13,15,3,5,19,32,10,0,1,20,5,22,21,60,58,25,G3
China PR,England,27,73,63,87,197,314,721,832,33,41,2,6,7,17,14,100,1,2,5,8,3,4,16,23,442,982,24,22,8,10,15,19,24,16,0,2,10,3,27,29,47,82,26,G3
Argentina,Sweden,42,58,66,76,228,345,369,485,33,33,2,6,2,6,50,100,1,2,7,21,1,4,11,15,471,597,23,16,14,11,9,11,14,11,1,1,8,9,28,33,63,58,27,G3
South Africa,Italy,39,61,55,74,177,322,379,512,42,35,5,12,6,17,83,60,5,3,12,9,5,5,14,14,462,673,24,15,10,21,12,20,25,26,0,1,8,5,33,37,82,79,28,G3
Jamaica,Brazil,28,72,49,74,130,266,499,674,0,44,0,3,8,18,100,0,8,0,8,3,0,6,2,29,425,790,18,17,8,7,14,24,52,11,1,3,12,7,28,41,83,74,29,G3
