name,shirtnumber,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_id,team,leg
Jacqui Hand,16,"RW,FW",24-156,90,0,0,0,0,1,0,0,0,62,2,1,2,0.2,0.2,0.0,1,0,32,44,72.7,5,40,5,6,2,1,New Zealand,G2
Hannah Wilkinson,17,FW,31-058,90,0,0,0,0,4,1,1,0,35,1,0,1,0.9,0.9,0.0,1,0,13,20,65.0,1,21,0,1,0,1,New Zealand,G2
Betsy Hassett,12,LM,32-355,45,0,0,0,0,1,0,0,0,29,1,0,0,0.1,0.1,0.1,3,0,19,25,76.0,3,21,2,1,1,1,New Zealand,G2
Annalie Longo,10,AM,32-024,45,0,0,0,0,0,0,0,0,32,1,1,2,0.0,0.0,0.0,0,0,21,26,80.8,3,24,0,0,0,1,New Zealand,G2
Ria Percival,2,"CM,DM",33-230,83,0,0,0,0,2,1,0,0,58,3,1,1,0.0,0.0,0.0,5,0,34,46,73.9,5,27,0,0,0,1,New Zealand,G2
Grace Jale,18,DM,24-106,7,0,0,0,0,1,1,0,0,7,0,0,0,0.3,0.3,0.0,0,0,5,6,83.3,0,2,0,0,0,1,New Zealand,G2
Malia Steinmetz,6,"DM,CM",24-188,90,0,0,0,0,1,0,0,0,50,4,0,1,0.0,0.0,0.2,2,0,20,38,52.6,3,30,1,3,2,1,New Zealand,G2
Indiah-Paige Riley,20,RM,21-217,45,0,0,0,0,1,0,0,0,29,1,0,2,0.2,0.2,0.0,1,0,18,23,78.3,3,16,0,2,1,1,New Zealand,G2
Olivia Chance,11,LW,29-293,45,0,0,0,0,1,0,0,0,28,0,0,2,0.1,0.1,0.3,3,0,15,25,60.0,2,21,4,1,1,1,New Zealand,G2
Ali Riley,7,LB,35-268,90,0,0,0,0,0,0,0,0,120,1,1,1,0.0,0.0,0.0,2,0,74,111,66.7,12,73,2,0,0,1,New Zealand,G2
Katie Bowen,14,CB,29-101,90,0,0,0,0,1,0,0,0,87,0,0,1,0.1,0.1,0.3,3,0,64,79,81.0,8,59,1,2,2,1,New Zealand,G2
Rebekah Stott,13,CB,30-038,90,0,0,0,0,0,0,0,0,60,0,0,2,0.0,0.0,0.2,3,0,36,52,69.2,3,37,0,2,2,1,New Zealand,G2
CJ Bott,4,RB,28-094,90,0,0,0,0,3,1,0,0,102,2,1,0,0.2,0.2,0.6,3,0,55,89,61.8,8,53,6,2,1,1,New Zealand,G2
Victoria Esson,21,GK,32-141,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,22,27,81.5,0,18,0,0,0,1,New Zealand,G2
Katrina Guillou,21,FW,29-218,90,0,0,0,0,2,0,0,0,35,3,3,0,0.1,0.1,0.0,0,0,8,18,44.4,1,14,0,0,0,1,Philippines,G2
Sarina Bolden,7,FW,27-025,82,1,0,0,0,1,1,0,0,24,0,2,0,0.3,0.3,0.0,0,0,6,14,42.9,1,13,0,2,1,1,Philippines,G2
Carleigh Frilles,15,FW,21-105,8,0,0,0,0,1,0,0,0,4,0,1,0,0.1,0.1,0.0,2,0,1,3,33.3,0,2,0,0,0,1,Philippines,G2
Sara Eggesvik,8,CM,26-087,63,0,1,0,0,0,0,0,0,29,4,1,3,0.0,0.0,0.3,2,2,6,14,42.9,2,14,1,1,1,1,Philippines,G2
Isabella Flanigan,9,CM,18-153,27,0,0,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.0,1,0,3,5,60.0,0,3,0,0,0,1,Philippines,G2
Jaclyn Sawicki,4,CM,30-253,90,0,0,0,0,0,0,0,0,49,2,1,1,0.0,0.0,0.0,0,0,23,34,67.6,3,22,0,3,1,1,Philippines,G2
Quinley Quezada,20,CM,26-109,69,0,0,0,0,0,0,0,0,31,0,2,2,0.0,0.0,0.0,0,0,9,20,45.0,1,16,1,2,1,1,Philippines,G2
Dominique Randle,19,CM,28-227,21,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,2,12,16.7,0,2,0,0,0,1,Philippines,G2
Sofia Harrison,16,WB,24-159,90,0,0,0,0,0,0,0,0,51,4,3,4,0.0,0.0,0.0,0,0,16,31,51.6,3,13,2,1,0,1,Philippines,G2
Alicia Barker,17,WB,25-064,69,0,0,0,0,0,0,0,0,48,1,3,1,0.0,0.0,0.0,0,0,14,31,45.2,2,11,0,0,0,1,Philippines,G2
Tahnai Annis,6,WB,34-035,21,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,0,5,0,0,0,1,Philippines,G2
Angela Beard,13,CB,25-343,90,0,0,0,0,0,0,1,0,19,1,0,0,0.0,0.0,0.0,0,0,5,12,41.7,0,6,0,0,0,1,Philippines,G2
Jessika Cowart,3,CB,23-268,82,0,0,0,0,0,0,0,0,34,1,1,1,0.0,0.0,0.0,1,0,12,20,60.0,1,8,0,1,0,1,Philippines,G2
Ryley Bugay,12,CB,27-183,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,1,Philippines,G2
Hali Long,5,CB,28-185,90,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,0,0,11,19,57.9,3,12,0,0,0,1,Philippines,G2
Olivia McDaniel,1,GK,25-284,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,11,38,28.9,0,18,0,0,0,1,Philippines,G2
Ana-Maria Crnogorčević,9,FW,32-295,90,0,0,0,0,1,0,0,0,48,1,0,3,0.1,0.1,0.0,1,0,12,30,40.0,0,23,3,4,2,2,Switzerland,G2
Ramona Bachmann,10,AM,32-212,89,0,0,0,0,2,0,0,0,61,2,0,0,0.3,0.3,0.1,2,0,41,49,83.7,4,43,4,4,2,2,Switzerland,G2
Marion Rey,14,AM,24-126,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2,Switzerland,G2
Seraina Piubel,17,AM,23-053,87,0,0,0,0,1,0,0,0,34,0,0,3,0.1,0.1,0.0,1,0,17,25,68.0,3,22,3,3,3,2,Switzerland,G2
Meriame Terchoun,22,AM,27-271,3,0,0,0,0,1,0,0,0,4,0,0,0,0.4,0.4,0.0,0,0,3,3,100.0,1,3,0,0,0,2,Switzerland,G2
Géraldine Reuteler,6,LM,24-095,77,0,0,0,0,1,1,0,0,53,2,3,2,0.0,0.0,0.0,1,0,36,42,85.7,3,41,0,0,0,2,Switzerland,G2
Sandrine Mauron,16,LM,26-218,13,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,1,0,5,6,83.3,1,3,0,0,0,2,Switzerland,G2
Lia Wälti,13,CM,30-097,90,0,0,0,0,0,0,0,0,76,4,0,0,0.0,0.0,0.0,1,0,53,64,82.8,5,48,0,0,0,2,Switzerland,G2
Coumba Sow,11,RM,28-332,90,0,0,0,0,1,0,0,0,58,3,0,2,0.0,0.0,0.2,2,0,32,46,69.6,4,31,1,5,1,2,Switzerland,G2
Nadine Riesen,8,LB,23-105,90,0,0,0,0,1,0,0,0,54,0,0,3,0.0,0.0,0.0,0,0,31,41,75.6,2,30,4,1,1,2,Switzerland,G2
Julia Stierli,2,CB,26-113,90,0,0,0,0,0,0,0,0,69,1,0,0,0.0,0.0,0.0,2,0,46,58,79.3,3,48,0,0,0,2,Switzerland,G2
Noelle Maritz,5,CB,27-214,90,0,0,0,0,0,0,0,0,63,0,1,0,0.0,0.0,0.0,0,0,50,58,86.2,6,55,3,0,0,2,Switzerland,G2
Eseosa Aigbogun,19,RB,30-063,90,0,0,0,0,0,0,0,0,63,3,0,2,0.0,0.0,0.0,0,0,40,54,74.1,3,37,1,0,0,2,Switzerland,G2
Gaëlle Thalmann,1,GK,37-188,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,27,37,73.0,0,19,0,0,0,2,Switzerland,G2
Sophie Román Haug,22,FW,24-051,72,0,0,0,0,5,2,0,0,20,0,0,3,0.7,0.7,0.1,2,0,6,8,75.0,0,6,0,0,0,2,Norway,G2
Karina Sævik,9,FW,27-123,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2,Norway,G2
Emilie Haavi,20,LW,31-039,90,0,0,0,0,0,0,0,0,46,0,1,1,0.0,0.0,0.1,5,0,10,32,31.3,3,26,4,4,2,2,Norway,G2
Amalie Eikeland,15,RW,27-333,56,0,0,0,0,1,0,0,0,21,1,0,0,0.1,0.1,0.0,1,0,11,13,84.6,1,9,1,4,2,2,Norway,G2
Caroline Graham Hansen,10,RW,28-157,34,0,0,0,0,3,1,0,0,23,1,0,0,0.2,0.2,0.0,2,0,10,16,62.5,1,13,0,1,1,2,Norway,G2
Guro Reiten,11,LM,28-364,90,0,0,0,0,0,0,0,0,47,1,0,1,0.0,0.0,0.2,3,0,23,40,57.5,6,23,1,2,0,2,Norway,G2
Vilde Bøe Risa,8,CM,28-012,87,0,0,0,0,1,0,0,0,95,0,1,1,0.0,0.0,0.1,4,0,73,90,81.1,18,50,3,0,0,2,Norway,G2
Ingrid Syrstad Engen,7,CM,25-087,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,2,Norway,G2
Frida Maanum,18,RM,24-009,90,0,0,0,0,3,1,0,0,47,2,0,0,0.3,0.3,0.4,4,0,21,36,58.3,1,29,2,3,0,2,Norway,G2
Tuva Hansen,4,LB,25-355,72,0,0,0,0,0,0,0,0,38,0,3,0,0.0,0.0,0.0,0,0,26,32,81.3,3,11,1,1,0,2,Norway,G2
Anja Sønstevold,2,"LB,RB",31-034,18,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,1,0,6,9,66.7,1,6,2,1,0,2,Norway,G2
Mathilde Harviken,16,CB,21-208,90,0,0,0,0,0,0,0,0,95,0,1,4,0.0,0.0,0.0,1,0,82,89,92.1,5,62,1,0,0,2,Norway,G2
Maren Mjelde,6,CB,33-261,90,0,0,0,0,2,1,0,0,105,3,3,1,0.2,0.2,0.0,1,0,81,88,92.0,8,70,6,1,0,2,Norway,G2
Thea Bjelde,13,RB,23-050,87,0,0,0,0,0,0,0,0,64,3,4,3,0.0,0.0,0.0,0,0,35,46,76.1,3,28,1,1,0,2,Norway,G2
Marit Bratberg Lund,19,LB,25-260,3,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,0,0,2,Norway,G2
Aurora Mikalsen,23,GK,27-126,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,15,18,83.3,0,12,0,0,0,2,Norway,G2
Mina Tanaka,11,FW,29-089,58,0,2,0,0,4,1,0,0,39,1,0,1,0.3,0.3,0.5,6,2,23,26,88.5,3,28,2,2,1,3,Japan,G2
Riko Ueki,9,FW,23-361,32,0,0,0,0,4,3,0,0,22,2,0,0,0.7,0.7,0.1,3,0,12,15,80.0,1,12,1,2,2,3,Japan,G2
Hikaru Naomoto,8,AM,29-145,73,1,0,0,0,5,3,0,0,50,0,1,4,0.5,0.5,0.0,6,0,23,34,67.6,2,32,3,1,1,3,Japan,G2
Kiko Seike,17,AM,26-352,17,0,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0.0,1,0,6,7,85.7,0,9,0,0,0,3,Japan,G2
Aoba Fujino,15,AM,19-180,58,1,0,0,0,2,1,0,0,28,0,1,0,0.5,0.5,0.3,7,1,16,21,76.2,1,16,4,2,2,3,Japan,G2
Hinata Miyazawa,7,AM,23-240,32,0,0,0,0,2,1,0,0,26,2,0,0,0.1,0.1,0.6,5,0,19,21,90.5,7,14,1,1,1,3,Japan,G2
Honoka Hayashi,16,CM,25-068,73,0,0,0,0,2,0,0,0,55,1,1,0,0.1,0.1,0.1,4,0,41,47,87.2,3,33,0,0,0,3,Japan,G2
Fūka Nagano,10,CM,24-139,17,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,12,15,80.0,3,9,0,0,0,3,Japan,G2
Yui Hasegawa,14,CM,26-178,90,0,0,0,0,1,1,0,0,83,2,3,2,0.1,0.1,0.0,5,0,54,69,78.3,6,54,2,0,0,3,Japan,G2
Hina Sugita,6,WB,26-176,90,0,0,0,0,0,0,0,0,76,0,3,0,0.0,0.0,0.2,3,0,59,73,80.8,6,42,4,3,3,3,Japan,G2
Risa Shimizu,2,WB,27-041,89,0,0,0,0,1,0,0,0,62,0,3,0,0.0,0.0,0.0,0,0,42,56,75.0,5,30,3,3,2,3,Japan,G2
Miyabi Moriya,19,WB,26-338,1,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,2,1,0,0,3,Japan,G2
Moeka Minami,3,CB,24-231,90,0,0,0,0,0,0,0,0,88,2,1,1,0.0,0.0,0.0,1,0,64,81,79.0,3,54,0,0,0,3,Japan,G2
Saki Kumagai,4,CB,32-282,90,0,0,0,0,1,1,0,0,51,1,0,1,0.1,0.1,0.0,0,0,42,47,89.4,2,34,0,0,0,3,Japan,G2
Shiori Miyake,5,CB,27-286,90,0,0,0,0,1,0,0,0,80,0,2,0,0.0,0.0,0.0,2,1,55,75,73.3,12,49,0,0,0,3,Japan,G2
Ayaka Yamashita,1,GK,27-300,90,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,13,13,100.0,0,8,0,0,0,3,Japan,G2
Priscila Chinchilla,14,"LM,FW",22-015,90,0,0,0,0,0,0,1,0,29,2,1,1,0.0,0.0,0.1,2,0,13,14,92.9,0,20,1,1,0,3,Costa Rica,G2
